"","depth","var","value","conc_rock.ug_g","in_range","ka"
"266",99.7331,"carb",17.7671274227918,NA,TRUE,733.531594192878
"267",99.57435,"carb",22.925188071538,NA,TRUE,737.213679544774
"268",99.37115,"carb",25.7330050280943,NA,TRUE,742.001027612194
"269",99.1743,"carb",26.1991030709598,NA,TRUE,746.777406412567
"270",98.9711,"carb",24.6682979682288,NA,TRUE,751.861547804986
"271",98.7679,"carb",26.1312606451598,NA,TRUE,757.047165967866
"272",98.59645,"carb",22.6652221237517,NA,TRUE,761.42670171181
"273",98.39325,"carb",26.1170594698353,NA,TRUE,766.553075728481
"274",98.1964,"carb",31.2992977815546,NA,TRUE,771.390410394391
"275",97.99955,"carb",32.0516463808349,NA,TRUE,776.096976384162
"276",97.8027,"carb",24.9214040063165,NA,TRUE,780.728903225447
"277",97.5995,"carb",27.3053293848278,NA,TRUE,785.52034513378
"278",97.3074,"carb",23.223396148775,NA,TRUE,792.520858208023
"279",97.1042,"carb",23.0042999514346,NA,TRUE,797.399032886814
"280",96.90735,"carb",21.0055979251165,NA,FALSE,802.124764606892
"281",96.71685,"carb",21.8972106631231,NA,FALSE,806.698053368259
"282",96.51365,"carb",25.9881562166364,NA,FALSE,811.57622804705
"283",96.3041,"carb",30.0933239648388,NA,FALSE,816.606845684553
"284",96.1136,"carb",29.0897525045445,NA,FALSE,821.180134445919
"285",95.9104,"carb",28.2116254406961,NA,FALSE,826.05830912471
"286",95.70085,"carb",26.386256341483,NA,FALSE,831.088926762213
"287",95.51035,"carb",29.1515290819434,NA,FALSE,835.66221552358
"288",95.3008,"carb",26.8487784094412,NA,FALSE,840.692833161082
"289",95.123,"carb",28.5975544430264,NA,FALSE,844.961236005025
"290",94.92615,"carb",26.155009972337,NA,FALSE,849.686967725103
"291",94.71025,"carb",23.9832110044455,NA,FALSE,854.870028321318
"292",94.5134,"carb",32.5643581050013,NA,FALSE,859.595760041398
"293",124.968,"TOC",1.03626165204957,NA,FALSE,-129.009999999996
"294",124.7648,"TOC",0.835281038466767,NA,FALSE,-121.429076923072
"295",124.5616,"TOC",0.874180169640246,NA,FALSE,-113.84815384615
"296",124.3711,"TOC",1.02113005407104,NA,FALSE,-106.741038461535
"297",124.17425,"TOC",1.04773639489481,NA,FALSE,-99.3970192307652
"298",123.99645,"TOC",1.1325500879292,NA,FALSE,-92.7637115384587
"299",123.79325,"TOC",1.27010079573646,NA,FALSE,-85.182788461535
"300",123.5964,"TOC",1.58244272577948,NA,FALSE,-77.838769230766
"301",123.38685,"TOC",1.51525858199074,NA,FALSE,-70.0209423076894
"302",123.2027,"TOC",0.502186780048627,NA,FALSE,-63.1507307692282
"303",122.99315,"TOC",1.27967386452395,NA,FALSE,-55.3329038461516
"304",122.80265,"TOC",1.20567775515236,NA,FALSE,-48.2257884615365
"305",122.58675,"TOC",2.41770692039838,NA,FALSE,-40.171057692306
"306",122.4026,"TOC",1.65772392470148,NA,FALSE,-33.3008461538448
"307",122.19305,"TOC",0.679515254005449,NA,FALSE,-25.4830192307672
"308",122.00255,"TOC",0.718239181395015,NA,FALSE,-18.3759038461521
"309",121.79935,"TOC",0.794423473400248,NA,FALSE,-10.7949807692303
"310",121.59615,"TOC",0.782446053139527,NA,FALSE,-3.21405769230751
"311",121.3993,"TOC",0.735898983925523,NA,TRUE,4.12996153845961
"312",121.1961,"TOC",0.979054929388766,NA,TRUE,11.7108846153842
"313",121.0056,"TOC",1.36950512924638,NA,TRUE,18.8179999999993
"314",120.8024,"TOC",0.974226023779353,NA,TRUE,26.3989230769239
"315",120.5992,"TOC",0.3262653221971,NA,TRUE,33.9798461538448
"316",120.396,"TOC",0.359597346806655,NA,TRUE,41.5607692307676
"317",120.19915,"TOC",0.534219070782114,NA,TRUE,48.9047884615384
"318",120.0023,"TOC",0.59594280391185,NA,TRUE,56.2488076923073
"319",119.7991,"TOC",0.288048667721005,NA,TRUE,63.8297307692301
"320",119.6086,"TOC",0.457655464293405,NA,TRUE,70.9368461538461
"321",119.41175,"TOC",0.0781154355013369,NA,TRUE,78.2808653846141
"322",119.20855,"TOC",0.213730368406995,NA,TRUE,85.9381588663009
"323",118.99265,"TOC",0.367629398517294,NA,TRUE,93.9540706745756
"324",118.8085,"TOC",0.50242537924482,NA,TRUE,100.660276642369
"325",118.5545,"TOC",0.292747669392455,NA,TRUE,109.695512988524
"326",118.3513,"TOC",0.428193491736796,NA,TRUE,116.776609561551
"327",118.1862,"TOC",0.589057452928397,NA,TRUE,122.366034705521
"328",118.0084,"TOC",0.536885904790294,NA,TRUE,128.412224120575
"329",117.79885,"TOC",0.598413799632814,NA,TRUE,135.542472942937
"330",117.59565,"TOC",0.406865470442014,NA,TRUE,142.410643797414
"331",117.3861,"TOC",0.856689039239786,NA,TRUE,149.517124089974
"332",117.1956,"TOC",0.914043376920444,NA,TRUE,156.156770437711
"333",116.9924,"TOC",0.901486607411538,NA,TRUE,163.626429623304
"334",116.79555,"TOC",0.93652022913642,NA,TRUE,171.475697698816
"335",116.586,"TOC",0.762440677816815,NA,TRUE,180.662140505379
"336",115.88115,"TOC",0.528816404863633,NA,TRUE,215.657631009749
"337",115.7,"TOC",0.956468540008605,NA,TRUE,224.707234913619
"338",115.47475,"TOC",0.826827368856664,NA,TRUE,235.568044549681
"339",115.2779,"TOC",0.484509141110769,NA,TRUE,244.634552692498
"340",115.0747,"TOC",0.711901605105937,NA,TRUE,253.592051479258
"341",114.89055,"TOC",0.90131753964751,NA,TRUE,261.430710518111
"342",114.681,"TOC",0.970930357564741,NA,TRUE,270.173058205705
"343",114.48415,"TOC",0.966560063664057,NA,TRUE,278.254226496548
"344",114.2873,"TOC",2.1180250611704,NA,TRUE,286.170916792699
"345",114.07775,"TOC",1.73294832126598,NA,TRUE,294.387862892749
"346",113.88725,"TOC",1.13561244477604,NA,TRUE,301.657669785095
"347",113.70945,"TOC",1.18318090300475,NA,TRUE,308.300129569238
"348",113.50625,"TOC",1.51381973815267,NA,TRUE,315.733524337632
"349",113.31575,"TOC",1.02582287646385,NA,TRUE,322.638484513091
"350",113.11255,"TOC",1.43037214900601,NA,TRUE,329.989858485968
"351",112.8903,"TOC",2.88434427027354,NA,TRUE,337.921725363978
"352",112.76965,"TOC",1.65065368834744,NA,TRUE,342.155307779864
"353",112.5474,"TOC",1.71485517888741,NA,TRUE,349.699719548044
"354",112.12195,"TOC",0.0439680688220646,NA,TRUE,363.097370276848
"355",111.8743,"TOC",1.42525526412852,NA,TRUE,370.327649749632
"356",111.69015,"TOC",1.26146656644357,NA,TRUE,375.553847237891
"357",111.4552,"TOC",1.27388909261092,NA,TRUE,382.090617993705
"358",111.252,"TOC",1.19959833657449,NA,TRUE,387.648325883883
"359",111.05515,"TOC",1.46218510367334,NA,TRUE,392.954329770763
"360",110.871,"TOC",1.7552676647462,NA,TRUE,397.848401861731
"361",110.64875,"TOC",1.78486913544528,NA,TRUE,403.623934175757
"362",110.44555,"TOC",1.7469342839806,NA,TRUE,408.756520437837
"363",110.2487,"TOC",1.5276268532348,NA,TRUE,413.595898019284
"364",110.05185,"TOC",2.08165305756721,NA,TRUE,418.303468914369
"365",109.855,"TOC",1.7317951573136,NA,TRUE,422.872079740506
